Name,Price,Model,MPN,Processor,RAM,HDD,SSD,Graphics
" HP ProDesk 400 G9 12th Gen Intel Core i5 12500 8GB DDR4, 1TB HDD Tower Brand PC #6Q2P3PA",72000,ProDesk 400 G9Core i5 12500,6Q2P3PA,Core i5,8GB1 x 8GBDDR43200 MHz21Unmentioned,1TB,No,Intel UHD Graphics 770
" Dell Optiplex 3090 Micro 10th Gen Intel Core i5 10500T 8GB RAM, 512GB SSD Black Micro Tower Brand PC",75500,Optiplex 3090 MicroCore i5 10500T,,Core i5,8GBDDR42666 MHz2164GB,,512GB,Intel UHD Graphics 630
" HP ProDesk 400 G9 12th Gen Intel Core i5 12500 8GB RAM 1TB HDD Tower Brand PC #6Q2Q6PA",69000,ProDesk 400 G9Core i5 12500,6Q2Q6PA,Core i5,8GB1 x 8GB RemovableDDR43200 MHz2132GB,1TB,No,Intel UHD Graphics 770
" HP 280 Pro G9 12th Gen Intel Core i7 12700 8GB RAM, 512GB SSD Tower Brand PC #950J8PA",83500,280 Pro G9Core i7 12700,950J8PA,Core i7,8GB1 x 8GBDDR43200 MHz64GB,No,512GB,Intel UHD Graphics 770
" Dell Vostro 3020T 13th Gen Intel Core i5 13400 8GB DDR4, 1TB HDD + 256GB SSD Black Tower Brand PC",78500,Vostro 3020TCore i5 13400,,Core i5,8GBDDR43200 MHz,1TB,256GB,Intel UHD Graphics 730
" Dell Vostro 3888 MT 10th Gen Intel Core i7 10700 8GB RAM 512GB SSD Black Mid Tower Brand PC",81000,Vostro 3888 MTCore i7 10700,,Core i7,8GBDDR43200 MHz232GB,No,512GB,Intel UHD Graphics 630
" Dell OptiPlex 7000 Intel Core i7 12700 8GB RAM 1TB HDD Black Tower Brand PC",99500,OptiPlex 7000Core i7 12700,,Core i7,8GB1 x 8GB RemovableDDR54800 MHz43128GB,1TB,No,Intel Integrated Graphics
" Lenovo ThinkCentre Neo 50s SFF 12th Gen Intel Core i7 12700 8GB DDR4 RAM 1TB SSD Black Small Tower Brand PC #11SWS0NB00 (i7+SSD)",85500,ThinkCentre Neo 50s SFFCore i7 12700,11SWS0NB00,Core i7,8GB1 x 8GB RemovableDDR43200 MHz2164GB,No,1TB,Intel UHD Graphics 770
" Apple Mac Pro Intel Xeon E5 32GB 1866MHz RAM 512GB SSD Workstation Brand PC",298500,Mac ProXeon E5,,Intel Xeon,32GB4 x 8GBDDR31866 MHz,No,512GB,Dual Fire Pro D700 GDDR5 Graphics
" Dell OptiPlex 7010 13th Gen Intel Core i5 13500 8GB RAM DDR4 256GB SSD Black Tower Brand PC",70500,OptiPlex 7010Core i5 13500,,Core i5,8GB1 x 8GB RemovableDDR421Unmentioned,No,256GB,Intel UHD Graphics 770
" Dell OptiPlex 7000 12th Gen Intel Core i5 12500 8GB DDR5, 1TB HDD Black Tower Brand PC",84000,OptiPlex 7000Core i5 12500,,Core i5,8GB1 x 8GBDDR5UnmentionedUnmentionedUnmentioned,1TB,No,Intel UHD Graphics 770
" Dell Vostro 3020T 13th Gen Intel Core i7 13700 8GB DDR4 512GB SSD Silver Mesh Tower Brand PC",99500,Vostro 3020TCore i7 13700,,Core i7,8GB1 x 8GBDDR43200 MHz,No,512GB,Intel UHD Graphics 730
" Lenovo ThinkCentre Neo 50s SFF 12th Gen Intel Core i7 12700 8GB DDR4 RAM 1TB HDD Black Small Tower Brand PC #11SWS0NB00 (i7+HDD)",84000,ThinkCentre Neo 50s SFFCore i7 12700,11SWS0NB00,Core i7,8GB1 x 8GB RemovableDDR43200 MHz2164GB,1TB,No,Intel UHD Graphics 770
